"Sample","Species","Strain","Batch","mSafOD","sdSafOD"
"315-A.1A1.A","Gardnerella vaginalis","315-A","1A1","0.09083333333333335","0.01309898214875237"
"315-A.1A1.B","Gardnerella vaginalis","315-A","1A1","0.08983333333333335","0.036563871056914464"
"315-A.1A2.A","Gardnerella vaginalis","315-A","1A2","0.21308333333333335","0.037797707161502096"
"315-A.1A2.B","Gardnerella vaginalis","315-A","1A2","0.19333333333333336","0.033559648389099674"
"AMD.2A1.A","Gardnerella leopoldii","AMD","2A1","0.15183333333333335","0.0676627667184841"
"AMD.2A2.A","Gardnerella leopoldii","AMD","2A2","0.20008333333333334","0.010801234497346433"
"AMD.2A2.B","Gardnerella leopoldii","AMD","2A2","0.17108333333333334","0.017606816861659012"
"C0011E4.1A1.A","Gardnerella vaginalis","C0011E4","1A1","0.21308333333333335","0.014628738838327805"
"C0011E4.1A1.B","Gardnerella vaginalis","C0011E4","1A1","0.11308333333333334","0.04484045792213397"
"C0011E4.1A2.A","Gardnerella vaginalis","C0011E4","1A2","0.12608333333333333","0.04393935214209089"
"C0011E4.1A2.B","Gardnerella vaginalis","C0011E4","1A2","0.19808333333333333","0.04088194385463262"
"C0040C2.1AB3.A","Gardnerella sp. 3","C0040C2","1AB3","0.42333333333333334","0.028371053323179008"
"C0040C2.1AB3.B","Gardnerella sp. 3","C0040C2","1AB3","0.38933333333333336","0.023824007499439154"
"C0040C2.1B1.A","Gardnerella sp. 3","C0040C2","1B1","0.14058333333333334","0.031010750823975017"
"C0040C2.1B1.B","Gardnerella sp. 3","C0040C2","1B1","0.15383333333333332","0.024032963473806825"
"C0040C2.1B2.A","Gardnerella sp. 3","C0040C2","1B2","0.41433333333333333","0.06281918496765142"
"C0040C2.1B2.B","Gardnerella sp. 3","C0040C2","1B2","0.44308333333333333","0.014583095236151583"
"C0056B5.1B1.A","Gardnerella sp. 8","C0056B5","1B1","0.026083333333333333","0.030232432915661946"
"C0056B5.1B1.B","Gardnerella sp. 8","C0056B5","1B1","0.04133333333333333","0.011324751652906128"
"C0056B5.1B2.A","Gardnerella sp. 8","C0056B5","1B2","0.16658333333333333","0.03497141690009142"
"C0056B5.1B2.B","Gardnerella sp. 8","C0056B5","1B2","0.19208333333333333","0.012110601416389965"
"C0084H9.3A1.A","Gardnerella sp. 2","C0084H9","3A1","0.07508333333333334","0.02007485989988473"
"C0084H9.3A1.B","Gardnerella sp. 2","C0084H9","3A1","0.15741666666666668","0.024826061575153914"
"C0084H9.3A2.A","Gardnerella sp. 2","C0084H9","3A2","0.06183333333333333","0.008499999999999999"
"C0084H9.3A2.B","Gardnerella sp. 2","C0084H9","3A2","0.07233333333333333","0.01014478519568881"
"C0084H9.3A3.A","Gardnerella sp. 2","C0084H9","3A3","0.030833333333333334","0.0037749172176353737"
"C0084H9.3A3.B","Gardnerella sp. 2","C0084H9","3A3","0.03783333333333333","0.0059090326337452774"
"C0093B3.3A1.A","Gardnerella piotii","C0093B3","3A1","0.09175000000000001","0.0020816659994661343"
"C0093B3.3A1.B","Gardnerella piotii","C0093B3","3A1","0.07908333333333334","0.01664331697709325"
"C0093B3.3A3.A","Gardnerella piotii","C0093B3","3A3","0.06208333333333334","0.01635033129124096"
"C0093B3.3A3.B","Gardnerella piotii","C0093B3","3A3","0.09158333333333335","0.003109126351029608"
"C0096A1.2A1.A","Gardnerella leopoldii","C0096A1","2A1","0.03908333333333334","0.012780193008453877"
"C0096A1.2A1.B","Gardnerella leopoldii","C0096A1","2A1","0.060083333333333336","0.006831300510639729"
"C0096A1.2A2.B","Gardnerella leopoldii","C0096A1","2A2","0.043083333333333335","0.003999999999999997"
"C0096A1.2A3.B","Gardnerella leopoldii","C0096A1","2A3","-0.005666666666666667","0.0005000000000000004"
"C0100B2.1A1.A","Gardnerella sp. 10","C0100B2","1A1","0.07608333333333334","0.021954498400100157"
"C0100B2.1A2.A","Gardnerella sp. 10","C0100B2","1A2","0.21233333333333332","0.057794895968415756"
"C0100B2.1A2.B","Gardnerella sp. 10","C0100B2","1A2","0.18708333333333335","0.041928510586473254"
"C0100B2.1AB4.A","Gardnerella sp. 10","C0100B2","1AB4","-0.006916666666666668","0"
"C0100B2.1AB4.B","Gardnerella sp. 10","C0100B2","1AB4","-0.006916666666666668","0"
"C0101A1.3A1.A","Gardnerella sp. 11","C0101A1","3A1","0.11741666666666668","0.023459184413217208"
"C0101A1.3A1.B","Gardnerella sp. 11","C0101A1","3A1","0.07341666666666667","0.016862186493255656"
"C0101A1.3A2.A","Gardnerella sp. 11","C0101A1","3A2","0.09333333333333334","0.023099422792211357"
"C0101A1.3A2.B","Gardnerella sp. 11","C0101A1","3A2","0.03358333333333333","0.010344080432788599"
"C0102A2.1A1.A","Gardnerella swidsinskii","C0102A2","1A1","0.19483333333333336","0.016479785597310826"
"C0102A2.1A2.A","Gardnerella swidsinskii","C0102A2","1A2","0.32658333333333334","0.04025336424863558"
"C0102A2.1AB3.A","Gardnerella swidsinskii","C0102A2","1AB3","0.12808333333333333","0.008286535263104031"
"C0102A2.1AB3.B","Gardnerella swidsinskii","C0102A2","1AB3","0.13733333333333334","0.015755951256588737"
"C0179B4.1AB3.A","Gardnerella sp. 7","C0179B4","1AB3","0.0038333333333333344","0.0018929694486000928"
"C0179B4.1AB3.B","Gardnerella sp. 7","C0179B4","1AB3","0.09133333333333334","0.01613226580490168"
"C0179B4.1B1.A","Gardnerella sp. 7","C0179B4","1B1","0.31083333333333335","0.10108865745802872"
"C0179B4.1B1.B","Gardnerella sp. 7","C0179B4","1B1","0.5305833333333333","0.06266578013557317"
"C0179B4.1B2.A","Gardnerella sp. 7","C0179B4","1B2","0.22883333333333333","0.024102212899787156"
"C0179B4.1B2.B","Gardnerella sp. 7","C0179B4","1B2","0.14483333333333334","0.032714675605911174"
"CMW7778B.2A3.B","Gardnerella sp. 12","CMW7778B","2A3","-0.006291666666666668","0.0010606601717798223"
"Gv101.1B1.A","Gardnerella sp. 8","Gv101","1B1","0.08058333333333334","0.017078251276599333"
"Gv101.1B1.B","Gardnerella sp. 8","Gv101","1B1","0.08833333333333335","0.011898879499067688"
"Gv101.1B2.A","Gardnerella sp. 8","Gv101","1B2","0.08158333333333334","0.010661457061146327"
"Gv101.1B2.B","Gardnerella sp. 8","Gv101","1B2","0.12058333333333335","0.01515475722889241"
"Gv5-1.1B2.A","Gardnerella swidsinskii","Gv5-1","1B2","0.09958333333333334","0.025929391302792544"
"JCP7275.1AB4.A","Gardnerella sp. 2","JCP7275","1AB4","-0.005666666666666667","0.0005000000000000004"
"JCP8017B.1A1.A","Gardnerella sp. 3","JCP8017B","1A1","0.12033333333333335","0.026537709019431196"
"JCP8017B.1A1.B","Gardnerella sp. 3","JCP8017B","1A1","0.10708333333333334","0.010984838035522722"
"JCP8017B.1A2.A","Gardnerella sp. 3","JCP8017B","1A2","0.15583333333333335","0.05505376160324259"
"JCP8017B.1A2.B","Gardnerella sp. 3","JCP8017B","1A2","0.18283333333333335","0.037941841459440705"
"JCP8066.1A1.A","Gardnerella piotii","JCP8066","1A1","0.14858333333333335","0.010344080432788609"
"JCP8066.1A1.B","Gardnerella piotii","JCP8066","1A1","0.15758333333333333","0.03308070938376825"
"JCP8108.1AB3.A","Gardnerella sp. 2","JCP8108","1AB3","0.04633333333333334","0.02355666926088378"
"JCP8108.1AB3.B","Gardnerella sp. 2","JCP8108","1AB3","0.06483333333333334","0.02425386567126981"
"JCP8108.1AB4.A","Gardnerella sp. 2","JCP8108","1AB4","-0.0061666666666666675","0.0005000000000000004"
"JCP8108.1AB4.B","Gardnerella sp. 2","JCP8108","1AB4","-0.006416666666666668","0.0005773502691896263"
"JCP8108.1B1.B","Gardnerella sp. 2","JCP8108","1B1","0.07683333333333334","0.009287087810503364"
"UM224.1A1.B","Gardnerella swidsinskii","UM224","1A1","0.39808333333333334","0.035674453978535775"
"UM224.1A2.A","Gardnerella swidsinskii","UM224","1A2","0.47283333333333333","0.016640813281407468"
"UM35.3A1.A","Gardnerella piotii","UM35","3A1","0.09241666666666666","0.03421013495052794"
"UM35.3A3.A","Gardnerella piotii","UM35","3A3","0.028833333333333336","0.003770183777256182"